Substance,Source,Specific_Measure,Region,PRUID,Time_Period,Year_Quarter,Aggregator,Disaggregator,Unit,Value
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2019 Q4,,,Number,25
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2020 Q1,,,Number,23
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2020 Q2,,,Number,53
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2020 Q3,,,Number,81
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2020 Q4,,,Number,76
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2021 Q1,,,Number,65
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2021 Q2,,,Number,68
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2021 Q3,,,Number,89
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2021 Q4,,,Number,66
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2022 Q1,,,Number,77
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2022 Q2,,,Number,72
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2022 Q3,,,Number,60
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2022 Q4,,,Number,83
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2023 Q1,,,Number,93
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2023 Q2,,,Number,94
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2023 Q3,,,Number,81
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2023 Q4,,,Number,114
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2024 Q1,,,Number,98
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2024 Q2,,,Number,108
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2024 Q3,,,Number,81
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2024 Q4,,,Number,86
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2025 Q1,,,Number,58
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2025 Q2,,,Number,61
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2025 Q3,,,Number,45
Opioids,Deaths,Overall numbers,Manitoba,46,By quarter,2025 Q4,,,Number,67
Opioids,Deaths,Overall numbers,Ontario,35,By year,2016,,,Crude rate,6.2
Opioids,Deaths,Overall numbers,Ontario,35,By year,2017,,,Crude rate,9.0
Opioids,Deaths,Overall numbers,Ontario,35,By year,2018,,,Crude rate,10.6
Opioids,Deaths,Overall numbers,Ontario,35,By year,2019,,,Crude rate,10.7
Opioids,Deaths,Overall numbers,Ontario,35,By year,2020,,,Crude rate,16.8
Opioids,Deaths,Overall numbers,Ontario,35,By year,2021,,,Crude rate,19.4
Opioids,Deaths,Overall numbers,Ontario,35,By year,2022,,,Crude rate,16.7
Opioids,Deaths,Overall numbers,Ontario,35,By year,2023,,,Crude rate,16.9
Opioids,Deaths,Overall numbers,Ontario,35,By year,2024,,,Crude rate,14.0
Opioids,Deaths,Overall numbers,Ontario,35,By year,2025,,,Crude rate,8.6
Opioids,Deaths,Overall numbers,Ontario,35,By year,2016,,,Number,867
Opioids,Deaths,Overall numbers,Ontario,35,By year,2017,,,Number,1265
Opioids,Deaths,Overall numbers,Ontario,35,By year,2018,,,Number,1513
Opioids,Deaths,Overall numbers,Ontario,35,By year,2019,,,Number,1565
Opioids,Deaths,Overall numbers,Ontario,35,By year,2020,,,Number,2484
Opioids,Deaths,Overall numbers,Ontario,35,By year,2021,,,Number,2880
Opioids,Deaths,Overall numbers,Ontario,35,By year,2022,,,Number,2531
Opioids,Deaths,Overall numbers,Ontario,35,By year,2023,,,Number,2643
Opioids,Deaths,Overall numbers,Ontario,35,By year,2024,,,Number,2265
Opioids,Deaths,Overall numbers,Ontario,35,By year,2025,,,Number,1398
Opioids,Deaths,Overall numbers,Ontario,35,By quarter,2016 Q1,,,Number,214
